epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.41151,3.93639,11.258,2.22223,0,0,0,0,3.40299,7.37693,2.29717,0.000291667,0.000291667,0.000291667
2,6.11212,3.48319,9.94106,2.07089,0,0,0,0,3.36203,7.28801,2.29652,0.000618813,0.000618813,0.000618813
3,8.20817,3.30184,9.25232,1.90036,0,0,0,0,3.36602,7.15503,2.30125,0.000939358,0.000939358,0.000939358
4,10.2998,3.18632,8.75948,1.73011,0,0,0,0,2.94122,6.76434,1.72253,0.0009703,0.0009703,0.0009703
5,12.6256,2.79007,7.09121,1.41191,0,0,0,0,2.80127,6.41858,1.64009,0.0009604,0.0009604,0.0009604
6,14.6971,2.71422,7.05327,1.34053,0,0,0,0,2.59887,6.19863,1.5873,0.0009505,0.0009505,0.0009505
7,16.9138,2.41522,6.55801,1.23882,0,0,0,0,2.56335,6.0223,1.56785,0.0009406,0.0009406,0.0009406
8,18.7152,2.5433,6.25878,1.2421,0,0,0,0,2.48271,5.89636,1.5127,0.0009307,0.0009307,0.0009307
9,20.5413,2.46352,6.0041,1.23396,0,0,0,0,2.46723,5.77872,1.50489,0.0009208,0.0009208,0.0009208
10,22.4529,2.49501,5.62459,1.18984,0,0,0,0,2.34686,5.70293,1.40949,0.0009109,0.0009109,0.0009109
11,24.4406,2.4893,5.88857,1.18422,8e-05,0.01068,3e-05,1e-05,2.32792,5.63353,1.38892,0.000901,0.000901,0.000901
12,26.2018,2.36382,5.80194,1.16209,0.00054,0.04515,0.00492,0.00181,2.33824,5.5452,1.38382,0.0008911,0.0008911,0.0008911
13,28.0744,2.28639,5.67137,1.09798,0.00071,0.05603,0.00705,0.00248,2.46441,5.49857,1.43922,0.0008812,0.0008812,0.0008812
14,29.8543,2.40565,5.47178,1.13424,0.00271,0.13662,0.02142,0.00719,2.39645,5.38372,1.39996,0.0008713,0.0008713,0.0008713
15,31.6422,2.15977,4.89686,1.11169,0.70553,0.02224,0.07184,0.03109,2.26904,5.07795,1.337,0.0008614,0.0008614,0.0008614
16,33.4965,2.22122,4.7693,1.10785,0.74639,0.08115,0.12257,0.05396,2.18262,4.9049,1.29773,0.0008515,0.0008515,0.0008515
17,35.3717,2.16517,4.80684,1.09839,0.67888,0.1535,0.16163,0.07006,2.1194,4.68054,1.27175,0.0008416,0.0008416,0.0008416
18,37.5449,2.1938,4.87946,1.0833,0.67499,0.18777,0.18155,0.08461,2.08049,4.47065,1.26588,0.0008317,0.0008317,0.0008317
19,39.5982,2.05283,4.43565,1.05163,0.50904,0.16075,0.17959,0.084,2.10144,4.38968,1.29052,0.0008218,0.0008218,0.0008218
20,41.497,2.01165,4.23226,1.06106,0.18734,0.22204,0.17256,0.07574,2.10373,4.33925,1.30865,0.0008119,0.0008119,0.0008119
21,43.3063,2.12964,4.13482,1.0455,0.19924,0.23112,0.18103,0.08068,2.0604,4.2435,1.28634,0.000802,0.000802,0.000802
22,45.5948,2.21663,4.22096,1.06739,0.45829,0.25472,0.22037,0.10058,2.07609,4.01545,1.28188,0.0007921,0.0007921,0.0007921
23,48.148,2.1473,4.09539,1.17172,0.4114,0.29818,0.27496,0.1347,2.07656,3.88393,1.27872,0.0007822,0.0007822,0.0007822
24,50.4949,1.96597,3.84124,1.05521,0.3725,0.37294,0.28938,0.14692,2.04211,3.71133,1.27862,0.0007723,0.0007723,0.0007723
25,52.5696,1.9626,3.65887,1.11212,0.34251,0.40525,0.28675,0.13532,2.09641,3.67863,1.31939,0.0007624,0.0007624,0.0007624
26,54.5148,2.23822,3.95244,1.15125,0.34616,0.39611,0.29044,0.13831,2.11662,3.63019,1.32681,0.0007525,0.0007525,0.0007525
27,56.455,2.07538,3.96438,1.10456,0.35585,0.40693,0.31466,0.15521,2.06783,3.5246,1.29588,0.0007426,0.0007426,0.0007426
28,58.4173,2.00208,3.75014,1.06612,0.37042,0.38733,0.31398,0.16401,2.04207,3.57323,1.27719,0.0007327,0.0007327,0.0007327
29,60.4362,2.103,3.83635,1.09337,0.35411,0.41099,0.30481,0.15728,2.03759,3.56915,1.27043,0.0007228,0.0007228,0.0007228
30,62.3762,1.99155,3.58988,1.07205,0.351,0.38562,0.30701,0.15697,2.0102,3.48855,1.25581,0.0007129,0.0007129,0.0007129
31,64.2418,1.9201,3.39198,1.03966,0.35544,0.34764,0.31217,0.15775,1.97361,3.38941,1.24424,0.000703,0.000703,0.000703
32,66.0764,1.87786,3.48701,1.03713,0.47851,0.31007,0.31887,0.15649,1.95695,3.38935,1.24695,0.0006931,0.0006931,0.0006931
33,67.9232,1.88502,3.23949,1.04573,0.40252,0.3173,0.30202,0.14449,1.98536,3.47443,1.26938,0.0006832,0.0006832,0.0006832
34,69.8075,1.9353,3.31077,1.02193,0.40576,0.34457,0.31174,0.14839,1.97454,3.38037,1.26083,0.0006733,0.0006733,0.0006733
35,71.8528,1.94119,3.33393,1.00244,0.39142,0.36997,0.32384,0.15847,1.97092,3.31253,1.25161,0.0006634,0.0006634,0.0006634
36,73.7785,1.92109,3.10125,1.00061,0.40491,0.38774,0.34143,0.16497,1.98241,3.27803,1.24516,0.0006535,0.0006535,0.0006535
37,75.6946,2.02412,3.45851,1.03777,0.43654,0.38827,0.35476,0.17,1.98029,3.28185,1.24253,0.0006436,0.0006436,0.0006436
38,77.6914,1.85053,3.14727,1.06603,0.44583,0.34328,0.34989,0.17401,1.97894,3.33106,1.24467,0.0006337,0.0006337,0.0006337
39,79.5459,1.82009,3.02507,1.02838,0.45658,0.34586,0.34876,0.17258,1.99431,3.31252,1.25768,0.0006238,0.0006238,0.0006238
40,81.565,1.93584,2.97107,1.00539,0.45216,0.35822,0.36099,0.17972,1.98463,3.23475,1.25224,0.0006139,0.0006139,0.0006139
