experiment,split,imgsz,parameters_m,model_mb,precision,recall,map50,map50_95,latency_mean_ms,latency_p95_ms,fps,peak_gpu_memory_mb,map_missing_hole,map_mouse_bite,map_open_circuit,map_short,map_spur,map_spurious_copper
e00_random_yolo11n_1024,val,1024,2.59101,5.297340393066406,0.9616486368718951,0.8823811858645612,0.9240861183699258,0.5162230378184087,64.29846212267876,67.48748943209648,15.552471505337751,295.31884765625,0.6100133774695824,0.4960240981369629,0.552069600330477,0.4966507727629105,0.3892415373948231,0.5533388408156961
e01_group_yolo11n_1024,val,1024,2.59101,5.284461975097656,0.9405872879986883,0.851390708059546,0.901251909237578,0.4725437073689865,63.54925286024809,68.16878169775009,15.73582622913147,322.015625,0.5261394406293662,0.5081739886100424,0.4593305463114013,0.32840419407835764,0.44505428646283673,0.5681597881219149
e02_group_yolo11n_640,val,640,2.59101,5.213661193847656,0.8346706931569073,0.6214224824620014,0.6949783868672474,0.3172910884997424,57.77878861874342,61.57049909234047,17.307389509298233,275.78271484375,0.4860784646156902,0.2046761291298072,0.28286969007447943,0.26946717958187316,0.21980163113163034,0.4408534364649741
e04_group_yolo11n_1024_5shot,val,1024,2.59101,5.291542053222656,0.4263250463333228,0.3159599959054493,0.31340169246095395,0.1530730216384766,62.24281322211027,66.9851042330265,16.066111864699167,322.640625,0.45241432491775335,0.07457893617381671,0.04146564446679837,0.08981874849964008,0.03607282216253365,0.2240876536103174
e04b_group_yolo11n_1024_5shot_freeze10,val,1024,2.59101,5.291542053222656,0.33308667317652313,0.28420384877059207,0.2576971741502176,0.11811276210865716,61.874124482274055,70.73113694787025,16.16184484818826,309.701171875,0.34190579982334723,0.05132533649540778,0.07486137700501552,0.030309624617626575,0.046608017872030595,0.1636664168385153
e05_group_yolo11n_1024_10shot,val,1024,2.59101,5.291542053222656,0.7090365396186703,0.600662207963179,0.6115381651238981,0.30321232118651686,76.71818241477013,90.2344286441803,13.03471965216261,323.265625,0.5195106051469532,0.22299539726066647,0.16713586833628752,0.1884126246507991,0.2807227950649479,0.4404966366594471
e06a_group_yolo11n_1280_default,val,1280,2.59101,5.347206115722656,0.9583866231733369,0.9097660755454694,0.9559610433510085,0.49107526071912755,68.90208289027214,96.4578278362751,14.513349351027875,316.775390625,0.49706101676631587,0.4852465721583159,0.48856794936646847,0.4500859209277559,0.5086488547451646,0.5168412503507442
e06b_group_yolo11n_1280_tuned_aug,val,1280,2.59101,5.347694396972656,0.9342437414324972,0.8501431360631818,0.9259119452520771,0.4924921441418539,63.86660426855087,69.12657618522644,15.657635339357144,326.693359375,0.5213304683526596,0.48755834925986674,0.46779425875575803,0.3865280697424219,0.4961268162992917,0.5956149024411257
e07_group_yolo11n_p2_1024,val,1024,2.636344,5.757423400878906,0.8780539782353719,0.8006367780484934,0.8674981921408104,0.44467018053988244,58.61647766083479,64.06713649630547,17.06004932241366,353.8447265625,0.5007144805076584,0.4224913502346765,0.4629577623561188,0.30116987768743375,0.4531425307995508,0.5275450816538564
