epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8157,4.03668,8.68041,1.75255,0,0,0,0,3.22964,6.01733,1.3723,0.000322581,0.000322581,0.000322581
2,15.9162,3.3132,6.09689,1.17946,0,0,0,0,2.85088,5.52864,1.2592,0.000642927,0.000642927,0.000642927
3,21.3227,3.01664,5.14168,1.07438,0.00027,0.0171,0.00435,0.00301,2.62163,5.07466,1.19183,0.000950073,0.000950073,0.000950073
4,27.1218,2.86994,4.47322,1.03502,0.58301,0.04289,0.12086,0.04673,2.72158,4.31846,1.26509,0.0009406,0.0009406,0.0009406
5,32.5184,2.68777,3.84198,1.00167,0.40019,0.16679,0.14726,0.0618,2.44663,3.82551,1.14391,0.0009208,0.0009208,0.0009208
6,38.4621,2.62704,3.36867,0.97365,0.37843,0.18193,0.19828,0.08315,2.35303,3.57845,1.14164,0.000901,0.000901,0.000901
7,44.1656,2.52718,3.16581,0.9678,0.32244,0.24107,0.21684,0.07403,2.54489,3.15441,1.17863,0.0008812,0.0008812,0.0008812
8,49.8922,2.52782,3.06539,0.95486,0.44128,0.17882,0.22175,0.08796,2.57107,3.02751,1.17483,0.0008614,0.0008614,0.0008614
9,55.0943,2.41541,2.72373,0.92716,0.29329,0.30531,0.27827,0.11191,2.40305,2.96668,1.11602,0.0008416,0.0008416,0.0008416
10,60.508,2.3987,2.54521,0.91846,0.30559,0.41661,0.32078,0.14224,2.18566,2.72179,1.083,0.0008218,0.0008218,0.0008218
11,65.7895,2.31364,2.36938,0.92306,0.52042,0.35175,0.36075,0.1608,2.17662,2.62676,1.07368,0.000802,0.000802,0.000802
12,71.0067,2.27103,2.30125,0.91666,0.46818,0.45297,0.46986,0.19045,2.20347,2.32857,1.05259,0.0007822,0.0007822,0.0007822
13,75.7404,2.29752,2.17575,0.92033,0.50694,0.38946,0.40577,0.17714,2.11752,2.53903,1.04477,0.0007624,0.0007624,0.0007624
14,81.3354,2.24695,2.013,0.89973,0.71259,0.38119,0.46468,0.20045,2.19689,2.39207,1.08562,0.0007426,0.0007426,0.0007426
15,87.2473,2.32732,2.19226,0.94106,0.62308,0.46474,0.49414,0.21141,2.16223,2.27898,1.05023,0.0007228,0.0007228,0.0007228
16,92.6947,2.19147,1.93884,0.89655,0.64126,0.4654,0.501,0.18908,2.32675,2.06749,1.09823,0.000703,0.000703,0.000703
17,98.3723,2.21578,1.90143,0.89355,0.60641,0.4961,0.4988,0.20205,2.23552,2.14395,1.08138,0.0006832,0.0006832,0.0006832
18,103.711,2.15937,1.82158,0.89837,0.8154,0.46587,0.57553,0.23935,2.1596,1.98189,1.05702,0.0006634,0.0006634,0.0006634
19,108.73,2.16937,1.81211,0.89637,0.66818,0.59205,0.61764,0.26882,2.10394,1.87505,1.03915,0.0006436,0.0006436,0.0006436
20,114.291,2.05177,1.70718,0.88571,0.81052,0.52016,0.62419,0.2869,2.00972,1.78579,1.02872,0.0006238,0.0006238,0.0006238
21,119.187,2.09875,1.67088,0.89054,0.7926,0.57115,0.63453,0.27587,2.04742,1.81795,1.03106,0.000604,0.000604,0.000604
22,124.943,2.20172,1.72908,0.88459,0.83887,0.61998,0.6707,0.26623,2.12288,1.74887,1.0302,0.0005842,0.0005842,0.0005842
23,129.514,2.05527,1.60295,0.87966,0.85837,0.53668,0.67301,0.29279,2.02149,1.72751,1.01284,0.0005644,0.0005644,0.0005644
24,135.205,1.97627,1.50583,0.87292,0.75524,0.5738,0.6572,0.28625,2.04498,1.70432,1.0173,0.0005446,0.0005446,0.0005446
25,140.646,2.10471,1.66193,0.8947,0.77304,0.56938,0.62292,0.24302,2.22447,1.7401,1.06609,0.0005248,0.0005248,0.0005248
26,145.581,2.11489,1.51796,0.8828,0.76389,0.5776,0.62699,0.26581,2.09292,1.79918,1.03529,0.000505,0.000505,0.000505
27,150.798,2.04346,1.49662,0.86517,0.86876,0.55571,0.66355,0.29992,2.04442,1.67886,1.01368,0.0004852,0.0004852,0.0004852
28,155.704,2.02833,1.66101,0.86952,0.7861,0.61159,0.69674,0.29521,2.1235,1.61709,1.05148,0.0004654,0.0004654,0.0004654
29,161.218,2.04983,1.51422,0.87908,0.83658,0.62095,0.69285,0.31583,1.96763,1.6147,1.00479,0.0004456,0.0004456,0.0004456
30,166.316,2.022,1.43283,0.86806,0.68985,0.62007,0.66583,0.28983,2.04022,1.60088,1.01971,0.0004258,0.0004258,0.0004258
31,171.303,2.02687,1.40129,0.85353,0.73357,0.62552,0.66182,0.28891,2.01923,1.64303,1.0114,0.000406,0.000406,0.000406
32,176.616,1.95902,1.32294,0.86216,0.87575,0.59055,0.68004,0.29858,2.07571,1.59861,1.03565,0.0003862,0.0003862,0.0003862
33,182.313,1.95051,1.34402,0.85533,0.84172,0.58777,0.66904,0.28947,2.07567,1.59122,1.03604,0.0003664,0.0003664,0.0003664
34,187.485,1.95408,1.37011,0.85793,0.8773,0.56104,0.68052,0.27735,2.11646,1.60155,1.05031,0.0003466,0.0003466,0.0003466
35,192.528,1.97752,1.3509,0.86396,0.86421,0.64363,0.7173,0.31062,2.01607,1.48287,1.00904,0.0003268,0.0003268,0.0003268
36,198.114,1.92673,1.26748,0.85747,0.85833,0.5856,0.69018,0.29578,2.05037,1.53664,1.02446,0.000307,0.000307,0.000307
37,203.502,1.93915,1.31437,0.84682,0.76755,0.65141,0.70704,0.30657,1.99568,1.54268,1.01134,0.0002872,0.0002872,0.0002872
38,208.854,1.9739,1.33214,0.85695,0.74346,0.6293,0.68736,0.2993,2.0645,1.51229,1.04409,0.0002674,0.0002674,0.0002674
39,213.904,1.9382,1.28323,0.85694,0.75973,0.62226,0.69802,0.30484,2.03857,1.52256,1.02611,0.0002476,0.0002476,0.0002476
40,218.997,1.91799,1.28399,0.85742,0.80616,0.57836,0.69433,0.30198,2.02721,1.5347,1.02869,0.0002278,0.0002278,0.0002278
41,228.322,1.91715,1.34266,0.90032,0.70083,0.58544,0.6202,0.23145,2.2101,1.61799,1.06065,0.000208,0.000208,0.000208
42,234.212,1.8465,1.26152,0.87179,0.7511,0.60401,0.64182,0.28053,2.00744,1.61885,1.02719,0.0001882,0.0001882,0.0001882
43,239.929,1.80701,1.1718,0.87316,0.76002,0.66307,0.69394,0.30999,1.94605,1.53288,1.00707,0.0001684,0.0001684,0.0001684
44,245.49,1.81265,1.22272,0.86474,0.72095,0.682,0.70538,0.31073,1.96372,1.47256,1.005,0.0001486,0.0001486,0.0001486
