epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,85.3746,2.20002,4.30091,1.09663,0.37111,0.1141,0.11004,0.05171,2.19572,4.44489,1.3368,0.0005743,0.0005743,0.0005743
45,87.4308,1.95019,4.27942,1.09462,0.37111,0.1141,0.11004,0.05171,2.19572,4.44489,1.3368,0.0005644,0.0005644,0.0005644
46,89.495,2.09819,4.98431,1.10094,0.37877,0.11354,0.11487,0.05031,2.18633,4.37664,1.32581,0.0005545,0.0005545,0.0005545
47,91.5846,2.00267,4.14584,1.05164,0.37877,0.11354,0.11487,0.05031,2.18633,4.37664,1.32581,0.0005446,0.0005446,0.0005446
48,93.9126,2.07207,4.4997,1.08387,0.40181,0.1283,0.12288,0.05536,2.19746,4.32729,1.32765,0.0005347,0.0005347,0.0005347
49,96.0344,1.82336,4.09498,1.05943,0.40181,0.1283,0.12288,0.05536,2.19746,4.32729,1.32765,0.0005248,0.0005248,0.0005248
50,97.9517,2.02646,4.29845,1.0866,0.36908,0.14993,0.14139,0.06564,2.18383,4.27956,1.32037,0.0005149,0.0005149,0.0005149
51,99.9415,2.07239,4.83322,1.10957,0.36908,0.14993,0.14139,0.06564,2.18383,4.27956,1.32037,0.000505,0.000505,0.000505
52,101.86,2.02247,4.29573,1.1016,0.42207,0.14609,0.16036,0.075,2.18991,4.2325,1.31996,0.0004951,0.0004951,0.0004951
53,103.558,1.98351,4.20192,1.05735,0.42207,0.14609,0.16036,0.075,2.18991,4.2325,1.31996,0.0004852,0.0004852,0.0004852
54,105.645,1.93915,4.31185,1.07999,0.35436,0.18883,0.17227,0.07911,2.18445,4.19619,1.31919,0.0004753,0.0004753,0.0004753
55,107.536,1.92779,3.9373,1.07177,0.35436,0.18883,0.17227,0.07911,2.18445,4.19619,1.31919,0.0004654,0.0004654,0.0004654
56,109.327,1.93843,3.55788,1.05399,0.32912,0.19741,0.17719,0.08131,2.16214,4.1921,1.312,0.0004555,0.0004555,0.0004555
57,111.12,1.86147,3.9058,0.99713,0.32912,0.19741,0.17719,0.08131,2.16214,4.1921,1.312,0.0004456,0.0004456,0.0004456
58,113.014,1.82163,3.78604,1.01778,0.34421,0.19702,0.18376,0.08589,2.13647,4.16025,1.30132,0.0004357,0.0004357,0.0004357
