experiment,run,aggregation,auroc,auprc,f1,recall_ng,specificity_ok,fp,fn,latency_ms_per_tile,parameters
S01,S01_baseline,top2,1.0,0.9999999999999999,0.99581589958159,0.9916666666666667,1.0,0,1,2.3965942915917062,33719363
S02,S02_prototype,top2,0.9983333333333334,0.999731182795699,0.9794238683127573,0.9916666666666667,0.8,4,1,2.432849651571208,33722567
S03,S03_glass,top2,0.9975,0.99959171034005,0.9916666666666667,0.9916666666666667,0.95,1,1,2.393289068034695,33719363
