epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,101.747,2.0036,4.08154,1.13421,0.288,0.25584,0.20884,0.09987,2.18163,4.26404,1.31103,0.0005644,0.0005644,0.0005644
46,104.116,1.96807,4.61194,1.06524,0.26693,0.25115,0.2026,0.10074,2.17417,4.35101,1.30916,0.0005545,0.0005545,0.0005545
47,106.486,1.97827,4.00548,1.06569,0.26693,0.25115,0.2026,0.10074,2.17417,4.35101,1.30916,0.0005446,0.0005446,0.0005446
48,108.582,1.96397,3.99087,1.10511,0.29028,0.2088,0.19964,0.09863,2.20487,4.33669,1.32716,0.0005347,0.0005347,0.0005347
49,110.735,1.8664,3.89754,1.07366,0.29028,0.2088,0.19964,0.09863,2.20487,4.33669,1.32716,0.0005248,0.0005248,0.0005248
50,112.916,2.07094,3.99918,1.08711,0.21006,0.23509,0.19018,0.09304,2.22225,4.23856,1.33635,0.0005149,0.0005149,0.0005149
51,115.48,2.04625,4.35295,1.09848,0.21006,0.23509,0.19018,0.09304,2.22225,4.23856,1.33635,0.000505,0.000505,0.000505
52,118.111,2.0265,3.95219,1.09683,0.241,0.22782,0.19606,0.09486,2.21338,4.09777,1.32979,0.0004951,0.0004951,0.0004951
53,120.366,1.87681,3.87987,1.04306,0.241,0.22782,0.19606,0.09486,2.21338,4.09777,1.32979,0.0004852,0.0004852,0.0004852
54,122.677,1.80609,3.90699,1.03873,0.24755,0.23733,0.2076,0.10118,2.13544,3.95912,1.29074,0.0004753,0.0004753,0.0004753
55,124.97,1.9618,3.6458,1.06491,0.24755,0.23733,0.2076,0.10118,2.13544,3.95912,1.29074,0.0004654,0.0004654,0.0004654
56,127.31,1.81428,3.3412,1.02962,0.2463,0.2588,0.21393,0.10556,2.07845,3.8844,1.26625,0.0004555,0.0004555,0.0004555
57,129.674,1.90461,3.47743,0.9789,0.2463,0.2588,0.21393,0.10556,2.07845,3.8844,1.26625,0.0004456,0.0004456,0.0004456
58,131.705,1.85271,3.48036,0.99826,0.28596,0.29806,0.22727,0.11112,2.0529,3.89563,1.25312,0.0004357,0.0004357,0.0004357
59,133.759,1.8789,3.81355,1.00469,0.29695,0.31882,0.23745,0.11617,2.05386,3.85113,1.25339,0.0004258,0.0004258,0.0004258
60,135.857,1.82219,3.8981,0.99348,0.29695,0.31882,0.23745,0.11617,2.05386,3.85113,1.25339,0.0004159,0.0004159,0.0004159
61,138.152,1.91933,4.28703,1.08943,0.29151,0.30538,0.24439,0.11738,2.05841,3.73944,1.25706,0.000406,0.000406,0.000406
62,140.38,1.78728,3.3601,1.00079,0.29151,0.30538,0.24439,0.11738,2.05841,3.73944,1.25706,0.0003961,0.0003961,0.0003961
63,142.681,1.68689,3.5532,0.9893,0.30977,0.30482,0.26405,0.12387,2.05032,3.63491,1.25303,0.0003862,0.0003862,0.0003862
64,144.905,1.84563,3.60377,1.02892,0.30977,0.30482,0.26405,0.12387,2.05032,3.63491,1.25303,0.0003763,0.0003763,0.0003763
65,147.057,1.86921,3.76131,0.99459,0.34601,0.299,0.27789,0.13228,2.03832,3.58783,1.24265,0.0003664,0.0003664,0.0003664
